"","CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","DISN","CHAPIS","CERR_CODE","TOGT","ROGT","COT","NOXT","SOXT","PMT","PM10T","year","address"
"230979",19,"SC",3955,"SC","KANAFLEX CORP","750 W MANVILLE ST","COMPTON","90220",9999,"LA","SOUTH COAST AQMD","","",0.556196602089921,0.06023,0.07893,0.09082,0.00023,0.00373,0.00359918,2012,"750 W MANVILLE ST,COMPTON, CA"
"230999",30,"SC",93702,"SC","KCA ELECTRONICS INC","223 N CRESCENT WAY","ANAHEIM","92801",5065,"ORA","SOUTH COAST AQMD","","",2.86639736724507,2.77743768,0.95411,0.1955,0.00682,0.01485,0.01485,2012,"223 N CRESCENT WAY,ANAHEIM, CA"
"231023",30,"SC",42089,"SC","KENLEN SPECIALTIES INC","11691 COLEY RIVER CIR","FOUNTAIN VALLEY","92708",3479,"ORA","SOUTH COAST AQMD","","",1.28458602524943,1.21877,0.1876,0.6968,0.00321,0.0402,0.03819,2012,"11691 COLEY RIVER CIR,FOUNTAIN VALLEY, CA"
"231109",19,"SC",1670,"SC","KIM LIGHTING","16555 E GALE AVE","CITY OF INDUSTRY","91745",3640,"LA","SOUTH COAST AQMD","","",0.117964565336036,0.06185,0.203,0.754,0.00348,0.04349,0.043059,2012,"16555 E GALE AVE,CITY OF INDUSTRY, CA"
"231110",30,"SC",21887,"SC","KIMBERLY-CLARK WORLDWIDE INC.-FULT. MILL","2001 E ORANGETHORPE AVE","FULLERTON","92831",2621,"ORA","SOUTH COAST AQMD","","",29.7312004421229,12.369017218,11.89982,7.37246892,0.4181600617,16.27421126,11.27950118,2012,"2001 E ORANGETHORPE AVE,FULLERTON, CA"
"231113",19,"SC",150824,"SC","KINCAID & DECKER INC,WOODMART WINDOW COV","15800 STRATHERN ST","VAN NUYS","91406",2431,"LA","SOUTH COAST AQMD","","",5.74359147885296,5.685,0,0,0,0,0,2012,"15800 STRATHERN ST,VAN NUYS, CA"
"231115",19,"SC",800056,"SC","KINDER MORGAN LIQUIDS TERMINALS, LLC","1900 WILMINGTON - SAN PEDRO RD","WILMINGTON","90744",4226,"LA","SOUTH COAST AQMD","","",13.5271737829182,13.23644,0.5026,1.06294,0.08776252,0.04934,0.0491236,2012,"1900 WILMINGTON - SAN PEDRO RD,WILMINGTON, CA"
"231116",19,"SC",800057,"SC","KINDER MORGAN LIQUIDS TERMINALS, LLC","2000 E SEPULVEDA BLVD","CARSON","90810",4226,"LA","SOUTH COAST AQMD","","",81.8387724624984,80.47382,1.23005,3.37842,1.6941,0.34147,0.3248156,2012,"2000 E SEPULVEDA BLVD,CARSON, CA"
"231133",19,"SC",135023,"SC","KINGS HAWAIIAN BAKERY","19161 HARBORGATE WAY","TORRANCE","90501",9999,"LA","SOUTH COAST AQMD","","",2.41573658414663,2.18396,0.66721,1.59567,0.01124,4.89912,3.54229284,2012,"19161 HARBORGATE WAY,TORRANCE, CA"
"231134",30,"SC",167369,"SC","KINGS OIL TOOLS, INC.","VARIOUS LOCATIONS IN SCAQMD","HUNTINGTON BEACH","92646",9999,"ORA","SOUTH COAST AQMD","","",0.0224094657583363,0.01875,0.051,0.2345,1e-04,0.01675,0.016348,2012,"VARIOUS LOCATIONS IN SCAQMD,HUNTINGTON BEACH, CA"
